n_items,n_trucks,n_trucks_used,cost,running_time
11,11,3,440,0.000599
12,12,3,586,0.00054
13,13,3,637,0.000526
14,14,6,777,0.00094
15,15,4,624,0.0007
16,16,4,745,0.001061
17,17,6,1124,0.001593
18,18,7,1323,0.001843
19,19,4,618,0.001418
20,20,4,739,0.001687
21,21,5,1180,0.002245
22,22,7,1601,0.003003
23,23,6,958,0.00379
24,24,7,1556,0.005307
25,25,8,1447,0.006407
26,26,8,1853,0.008196
27,27,11,3004,0.008972
28,28,7,1400,0.006065
29,29,7,1585,0.006674
30,30,11,2444,0.010007
31,31,7,1881,0.008157
32,32,8,1645,0.008687
33,33,8,1394,0.009524
34,34,8,1858,0.009818
35,35,12,2774,0.014589
36,36,9,1602,0.011048
37,37,10,1842,0.013214
38,38,12,2515,0.018492
39,39,9,1970,0.018521
40,40,10,2380,0.018935
41,41,11,2257,0.019793
42,42,10,1642,0.018541
43,43,11,2038,0.021075
44,44,13,2414,0.029004
45,45,11,1866,0.0247
46,46,15,3830,0.037822
47,47,13,1920,0.03407
48,48,12,2328,0.058766
49,49,11,1892,0.029398
50,50,12,2400,0.038673
100,100,21,4352,0.360696
100,235,23,3342,0.90581
100,134,28,5218,0.721128
100,122,31,6432,0.70781
100,112,27,5543,0.524375
100,223,22,3277,0.82329
100,271,29,4571,1.48487
100,235,20,3100,0.834511
100,100,25,4904,0.374629
100,188,25,3819,0.838167
100,284,23,4157,1.24108
110,203,25,3768,0.922542
120,237,31,4425,1.72192
130,130,38,6616,1.23847
140,272,30,5001,2.2916
150,217,36,7057,2.85681
160,168,48,9911,3.12711
170,220,45,9251,4.38135
180,296,50,8056,7.43123
190,230,50,11069,5.83671
200,299,45,7019,6.65435
210,283,56,9438,8.94893
220,256,48,9780,8.00982
230,236,60,11122,9.61699
240,261,58,11471,11.7635
250,296,65,12657,16.2691
260,285,66,12233,14.7325
270,277,68,12133,15.3216
280,296,70,13256,19.2155
290,290,68,13981,20.3142
300,300,79,14585,24.6525
202,284,55,9495,8.38776
160,190,42,7871,3.02305
210,288,48,8438,7.83647
103,141,27,5723,0.713942
134,143,38,7034,1.67471
238,278,53,9231,10.3219
262,269,65,12994,14.634
193,217,46,8357,5.07394
103,217,25,4263,0.979595
296,296,72,13590,22.7413
205,268,52,8818,7.79164
292,299,71,13557,20.8602
274,290,70,13857,17.9614
107,289,27,3824,1.48356
256,262,57,11102,12.5021
124,283,28,4405,1.8928
291,293,69,14779,19.1717
277,295,72,13734,20.7309
166,181,43,8718,3.28653
212,294,58,10761,10.6972
266,296,72,14454,21.2771
100,134,29,5053,0.688279
112,220,30,5426,1.40337
193,286,52,9062,7.96427
250,292,63,12308,15.8852
254,285,58,11083,13.4853
167,284,42,6691,4.43349
132,230,31,4855,2.07659
180,300,44,7391,5.89049
500,722,108,32442,208.99
510,971,N/A,N/A,N/A
520,649,118,36635,212.479
530,902,N/A,N/A,N/A
540,851,N/A,N/A,N/A
550,956,N/A,N/A,N/A
560,623,135,45308,265.435
570,845,N/A,N/A,N/A
580,999,N/A,N/A,N/A
590,839,N/A,N/A,N/A
600,980,N/A,N/A,N/A
610,721,N/A,N/A,N/A
620,807,N/A,N/A,N/A
630,854,N/A,N/A,N/A
640,864,N/A,N/A,N/A
650,661,N/A,N/A,N/A
660,875,N/A,N/A,N/A
670,964,N/A,N/A,N/A
680,943,N/A,N/A,N/A
690,879,N/A,N/A,N/A
700,769,N/A,N/A,N/A
710,995,N/A,N/A,N/A
720,869,N/A,N/A,N/A
730,991,N/A,N/A,N/A
740,914,N/A,N/A,N/A
750,790,N/A,N/A,N/A
760,997,N/A,N/A,N/A
770,951,N/A,N/A,N/A
780,928,N/A,N/A,N/A
790,967,N/A,N/A,N/A
800,959,N/A,N/A,N/A
810,892,N/A,N/A,N/A
820,989,N/A,N/A,N/A
830,834,N/A,N/A,N/A
840,929,N/A,N/A,N/A
850,962,N/A,N/A,N/A
860,984,N/A,N/A,N/A
870,906,N/A,N/A,N/A
880,909,N/A,N/A,N/A
890,924,N/A,N/A,N/A
900,999,N/A,N/A,N/A
910,914,N/A,N/A,N/A
920,975,N/A,N/A,N/A
930,997,N/A,N/A,N/A
940,990,N/A,N/A,N/A
950,977,N/A,N/A,N/A
960,994,N/A,N/A,N/A
970,988,N/A,N/A,N/A
980,992,N/A,N/A,N/A
990,1000,N/A,N/A,N/A
1000,1000,N/A,N/A,N/A
977,977,N/A,N/A,N/A
728,913,N/A,N/A,N/A
551,968,N/A,N/A,N/A
613,959,N/A,N/A,N/A
744,784,N/A,N/A,N/A
746,950,N/A,N/A,N/A
773,953,N/A,N/A,N/A
664,762,N/A,N/A,N/A
731,875,N/A,N/A,N/A
