n_items,n_trucks,n_trucks_used,cost,running_time
11,11,11,440,0.00193
12,12,12,586,0.00382
13,13,13,637,0.003006
14,14,14,777,0.017988
15,15,15,624,0.017779
16,16,16,745,0.013308
17,17,17,1098,0.089258
18,18,18,1323,0.179056
19,19,19,618,0.019588
20,20,20,626,0.016302
21,21,21,1297,0.279418
22,22,22,1556,0.733084
23,23,23,1137,1.5224
24,24,24,1547,2.41217
25,25,25,1464,7.50056
26,26,26,1938,10.5518
27,27,27,2851,107.306
28,28,28,1400,23.8025
29,29,29,1620,33.118
30,30,N/A,N/A,N/A
31,31,31,1768,23.2625
32,32,32,1557,35.8825
33,33,33,1394,113.718
34,34,N/A,N/A,N/A
35,35,N/A,N/A,N/A
36,36,N/A,N/A,N/A
37,37,N/A,N/A,N/A
38,38,N/A,N/A,N/A
39,39,N/A,N/A,N/A
40,40,N/A,N/A,N/A
41,41,N/A,N/A,N/A
42,42,N/A,N/A,N/A
43,43,N/A,N/A,N/A
44,44,N/A,N/A,N/A
45,45,N/A,N/A,N/A
46,46,N/A,N/A,N/A
47,47,N/A,N/A,N/A
48,48,N/A,N/A,N/A
49,49,N/A,N/A,N/A
50,50,N/A,N/A,N/A
100,100,N/A,N/A,N/A
100,235,N/A,N/A,N/A
100,134,N/A,N/A,N/A
100,122,N/A,N/A,N/A
100,112,N/A,N/A,N/A
100,223,N/A,N/A,N/A
100,271,N/A,N/A,N/A
100,235,N/A,N/A,N/A
100,100,N/A,N/A,N/A
100,188,N/A,N/A,N/A
100,284,N/A,N/A,N/A
110,203,N/A,N/A,N/A
120,237,N/A,N/A,N/A
130,130,N/A,N/A,N/A
140,272,N/A,N/A,N/A
150,217,N/A,N/A,N/A
160,168,N/A,N/A,N/A
170,220,N/A,N/A,N/A
180,296,N/A,N/A,N/A
190,230,N/A,N/A,N/A
200,299,N/A,N/A,N/A
210,283,N/A,N/A,N/A
220,256,N/A,N/A,N/A
230,236,N/A,N/A,N/A
240,261,N/A,N/A,N/A
250,296,N/A,N/A,N/A
260,285,N/A,N/A,N/A
270,277,N/A,N/A,N/A
280,296,N/A,N/A,N/A
290,290,N/A,N/A,N/A
300,300,N/A,N/A,N/A
202,284,N/A,N/A,N/A
160,190,N/A,N/A,N/A
210,288,N/A,N/A,N/A
103,141,N/A,N/A,N/A
134,143,N/A,N/A,N/A
238,278,N/A,N/A,N/A
262,269,N/A,N/A,N/A
193,217,N/A,N/A,N/A
103,217,N/A,N/A,N/A
296,296,N/A,N/A,N/A
205,268,N/A,N/A,N/A
292,299,N/A,N/A,N/A
274,290,N/A,N/A,N/A
107,289,N/A,N/A,N/A
256,262,N/A,N/A,N/A
124,283,N/A,N/A,N/A
291,293,N/A,N/A,N/A
277,295,N/A,N/A,N/A
166,181,N/A,N/A,N/A
212,294,N/A,N/A,N/A
266,296,N/A,N/A,N/A
100,134,N/A,N/A,N/A
112,220,N/A,N/A,N/A
193,286,N/A,N/A,N/A
250,292,N/A,N/A,N/A
254,285,N/A,N/A,N/A
167,284,N/A,N/A,N/A
132,230,N/A,N/A,N/A
180,300,N/A,N/A,N/A
500,722,N/A,N/A,N/A
510,971,N/A,N/A,N/A
520,649,N/A,N/A,N/A
530,902,N/A,N/A,N/A
540,851,N/A,N/A,N/A
550,956,N/A,N/A,N/A
560,623,N/A,N/A,N/A
570,845,N/A,N/A,N/A
580,999,N/A,N/A,N/A
590,839,N/A,N/A,N/A
600,980,N/A,N/A,N/A
610,721,N/A,N/A,N/A
620,807,N/A,N/A,N/A
630,854,N/A,N/A,N/A
640,864,N/A,N/A,N/A
650,661,N/A,N/A,N/A
660,875,N/A,N/A,N/A
670,964,N/A,N/A,N/A
680,943,N/A,N/A,N/A
690,879,N/A,N/A,N/A
700,769,N/A,N/A,N/A
710,995,N/A,N/A,N/A
720,869,N/A,N/A,N/A
730,991,N/A,N/A,N/A
740,914,N/A,N/A,N/A
750,790,N/A,N/A,N/A
760,997,N/A,N/A,N/A
770,951,N/A,N/A,N/A
780,928,N/A,N/A,N/A
790,967,N/A,N/A,N/A
800,959,N/A,N/A,N/A
810,892,N/A,N/A,N/A
820,989,N/A,N/A,N/A
830,834,N/A,N/A,N/A
840,929,N/A,N/A,N/A
850,962,N/A,N/A,N/A
860,984,N/A,N/A,N/A
870,906,N/A,N/A,N/A
880,909,N/A,N/A,N/A
890,924,N/A,N/A,N/A
900,999,N/A,N/A,N/A
910,914,N/A,N/A,N/A
920,975,N/A,N/A,N/A
930,997,N/A,N/A,N/A
940,990,N/A,N/A,N/A
950,977,N/A,N/A,N/A
960,994,N/A,N/A,N/A
970,988,N/A,N/A,N/A
980,992,N/A,N/A,N/A
990,1000,N/A,N/A,N/A
1000,1000,N/A,N/A,N/A
977,977,N/A,N/A,N/A
728,913,N/A,N/A,N/A
551,968,N/A,N/A,N/A
613,959,N/A,N/A,N/A
744,784,N/A,N/A,N/A
746,950,N/A,N/A,N/A
773,953,N/A,N/A,N/A
664,762,N/A,N/A,N/A
731,875,N/A,N/A,N/A
