n_items,n_trucks,n_trucks_used,cost,running_time
11,11,3,379,1.9666838645935059
12,12,3,525,2.271491765975952
13,13,2,459,0.34365367889404297
14,14,5,650,0.4962778091430664
15,15,3,513,2.441635847091675
16,16,4,638,1.3574762344360352
17,17,5,929,39.271567821502686
18,18,6,1169,1.302475929260254
19,19,3,508,102.58864402770996
20,20,4,626,283.2950086593628
21,21,5,1023,93.13276863098145
22,22,6,1280,300.61079239845276
23,23,6,937,300.670197725296
24,24,7,1367,300.79356956481934
25,25,6,1199,300.60309314727783
26,26,7,1582,300.25131916999817
27,27,8,2198,300.86941862106323
28,28,6,1225,300.3192265033722
29,29,6,1500,300.3155288696289
30,30,10,2138,300.490207195282
31,31,6,1768,300.37115812301636
32,32,7,1495,300.4299509525299
33,33,8,1349,300.7887225151062
34,34,7,1740,300.4620039463043
35,35,12,2496,300.4891445636749
36,36,9,1523,301.1055862903595
37,37,9,1727,300.5594301223755
38,38,11,2194,300.6149115562439
39,39,8,1858,300.81887769699097
40,40,10,2221,300.7351551055908
41,41,10,2012,300.7084982395172
42,42,10,1541,300.7638032436371
43,43,10,1905,300.96345615386963
44,44,11,2212,300.9319624900818
45,45,10,1738,300.95544481277466
46,46,14,3477,301.0340805053711
47,47,11,1693,301.04369831085205
48,48,10,2340,301.06571865081787
49,49,11,1803,301.17428946495056
50,50,11,2301,301.21761655807495
100,100,20,4342,311.2589843273163
235,100,35,4420,316.9155547618866
134,100,28,5417,311.91908073425293
122,100,29,7155,309.6118357181549
112,100,25,5613,308.78597259521484
223,100,21,3423,316.1878135204315
271,100,43,6232,319.6533319950104
235,100,19,3203,317.6867094039917
100,100,24,5384,308.0122137069702
188,100,44,5834,313.9515697956085
284,100,25,4858,320.5264403820038
203,110,42,5758,318.3541405200958
237,120,53,6976,324.60341143608093
130,130,39,8161,316.8200857639313
140,272,N/A,N/A,N/A
150,217,N/A,N/A,N/A
160,168,N/A,N/A,N/A
170,220,N/A,N/A,N/A
180,296,N/A,N/A,N/A
190,230,N/A,N/A,N/A
200,299,N/A,N/A,N/A
210,283,N/A,N/A,N/A
220,256,N/A,N/A,N/A
230,236,N/A,N/A,N/A
240,261,N/A,N/A,N/A
250,296,N/A,N/A,N/A
260,285,N/A,N/A,N/A
270,277,N/A,N/A,N/A
280,296,N/A,N/A,N/A
290,290,N/A,N/A,N/A
300,300,N/A,N/A,N/A
202,284,N/A,N/A,N/A
160,190,N/A,N/A,N/A
210,288,N/A,N/A,N/A
103,141,N/A,N/A,N/A
134,143,N/A,N/A,N/A
238,278,N/A,N/A,N/A
262,269,N/A,N/A,N/A
193,217,N/A,N/A,N/A
103,217,N/A,N/A,N/A
296,296,N/A,N/A,N/A
205,268,N/A,N/A,N/A
292,299,N/A,N/A,N/A
274,290,N/A,N/A,N/A
107,289,N/A,N/A,N/A
256,262,N/A,N/A,N/A
124,283,N/A,N/A,N/A
291,293,N/A,N/A,N/A
277,295,N/A,N/A,N/A
166,181,N/A,N/A,N/A
212,294,N/A,N/A,N/A
266,296,N/A,N/A,N/A
100,134,N/A,N/A,N/A
112,220,N/A,N/A,N/A
193,286,N/A,N/A,N/A
250,292,N/A,N/A,N/A
254,285,N/A,N/A,N/A
167,284,N/A,N/A,N/A
132,230,N/A,N/A,N/A
180,300,N/A,N/A,N/A
500,722,N/A,N/A,N/A
510,971,N/A,N/A,N/A
520,649,N/A,N/A,N/A
530,902,N/A,N/A,N/A
540,851,N/A,N/A,N/A
550,956,N/A,N/A,N/A
560,623,N/A,N/A,N/A
570,845,N/A,N/A,N/A
580,999,N/A,N/A,N/A
590,839,N/A,N/A,N/A
600,980,N/A,N/A,N/A
610,721,N/A,N/A,N/A
620,807,N/A,N/A,N/A
630,854,N/A,N/A,N/A
640,864,N/A,N/A,N/A
650,661,N/A,N/A,N/A
660,875,N/A,N/A,N/A
670,964,N/A,N/A,N/A
680,943,N/A,N/A,N/A
690,879,N/A,N/A,N/A
700,769,N/A,N/A,N/A
710,995,N/A,N/A,N/A
720,869,N/A,N/A,N/A
730,991,N/A,N/A,N/A
740,914,N/A,N/A,N/A
750,790,N/A,N/A,N/A
760,997,N/A,N/A,N/A
770,951,N/A,N/A,N/A
780,928,N/A,N/A,N/A
790,967,N/A,N/A,N/A
800,959,N/A,N/A,N/A
810,892,N/A,N/A,N/A
820,989,N/A,N/A,N/A
830,834,N/A,N/A,N/A
840,929,N/A,N/A,N/A
850,962,N/A,N/A,N/A
860,984,N/A,N/A,N/A
870,906,N/A,N/A,N/A
880,909,N/A,N/A,N/A
890,924,N/A,N/A,N/A
900,999,N/A,N/A,N/A
910,914,N/A,N/A,N/A
920,975,N/A,N/A,N/A
930,997,N/A,N/A,N/A
940,990,N/A,N/A,N/A
950,977,N/A,N/A,N/A
960,994,N/A,N/A,N/A
970,988,N/A,N/A,N/A
980,992,N/A,N/A,N/A
990,1000,N/A,N/A,N/A
1000,1000,N/A,N/A,N/A
977,977,N/A,N/A,N/A
728,913,N/A,N/A,N/A
551,968,N/A,N/A,N/A
613,959,N/A,N/A,N/A
744,784,N/A,N/A,N/A
746,950,N/A,N/A,N/A
773,953,N/A,N/A,N/A
664,762,N/A,N/A,N/A
731,875,N/A,N/A,N/A
