n_items,n_trucks,n_trucks_used,cost,running_time
11,11,3,480,0.000595
12,12,3,587,0.000228
13,13,3,637,0.000256
14,14,6,777,0.000207
15,15,4,738,0.000188
16,16,4,745,0.000206
17,17,7,1394,0.000234
18,18,6,1388,0.000268
19,19,4,618,0.000241
20,20,5,840,0.000264
21,21,6,1400,0.000275
22,22,8,1812,0.000307
23,23,7,1384,0.000304
24,24,9,1882,0.000445
25,25,8,1531,0.000356
26,26,9,2115,0.000401
27,27,12,3392,0.000434
28,28,6,1826,0.000397
29,29,7,1689,0.000439
30,30,12,2666,0.000517
31,31,7,2032,0.000456
32,32,8,1738,0.000498
33,33,9,1673,0.000506
34,34,8,1887,0.000788
35,35,14,3208,0.000687
36,36,9,1602,0.000548
37,37,11,2189,0.000605
38,38,13,2576,0.000658
39,39,9,2056,0.000645
40,40,12,2668,0.000699
41,41,11,2270,0.000722
42,42,11,1764,0.000691
43,43,14,2390,0.000703
44,44,13,2480,0.000803
45,45,11,1871,0.000751
46,46,17,4312,0.000877
47,47,13,1972,0.000819
48,48,13,2819,0.000843
49,49,11,1892,0.000844
50,50,13,2566,0.000893
100,100,22,4539,0.002581
100,235,23,3448,0.003002
100,134,29,5378,0.003107
100,122,33,6752,0.0031
100,112,28,5861,0.00269
100,223,23,3598,0.002917
100,271,29,4598,0.00346
100,235,21,3289,0.00304
100,100,26,5296,0.002496
100,188,26,3896,0.002996
100,284,25,4463,0.003432
110,203,25,3798,0.003366
120,237,32,4609,0.004157
130,130,40,7030,0.004339
140,272,32,5240,0.005156
150,217,36,7271,0.005512
160,168,50,10311,0.006805
170,220,47,9847,0.007363
180,296,53,8476,0.00821
190,230,51,11316,0.008738
200,299,45,7141,0.008561
210,283,58,9586,0.010014
220,256,50,9984,0.010272
230,236,62,11447,0.011924
240,261,58,11687,0.013761
250,296,66,13095,0.01438
260,285,67,12572,0.015034
270,277,68,12314,0.015156
280,296,72,13485,0.01663
290,290,71,14493,0.017722
300,300,82,14872,0.02013
202,284,57,9845,0.009985
160,190,42,7894,0.00636
210,288,51,8898,0.009573
103,141,28,6191,0.003096
134,143,38,7202,0.004827
238,278,56,9625,0.011651
262,269,66,13414,0.015959
193,217,46,8567,0.009003
103,217,27,4412,0.003357
296,296,72,13904,0.017172
205,268,52,8848,0.00937
292,299,73,13976,0.017078
274,290,71,14270,0.014842
107,289,28,3955,0.00342
256,262,57,11263,0.012047
124,283,28,4503,0.004022
291,293,72,15534,0.016263
277,295,74,14248,0.015423
166,181,43,8925,0.00622
212,294,59,11139,0.010121
266,296,72,14454,0.014961
100,134,31,5503,0.002808
112,220,30,5577,0.003542
193,286,52,9153,0.00835
250,292,65,12728,0.012982
254,285,59,11312,0.012386
167,284,44,7160,0.007517
132,230,32,4963,0.004743
180,300,45,7634,0.007711
500,722,113,33414,0.037901
510,971,135,33230,0.039588
520,649,122,39081,0.040562
530,902,130,36816,0.043375
540,851,134,41045,0.044964
550,956,126,32629,0.043191
560,623,144,49876,0.048545
570,845,155,44032,0.052479
580,999,136,36058,0.051139
590,839,130,36266,0.048394
600,980,150,38285,0.052297
610,721,139,40094,0.050071
620,807,160,52504,0.05951
630,854,157,46139,0.056799
640,864,165,58013,0.066937
650,661,164,51850,0.05801
660,875,154,44287,0.063807
670,964,166,49792,0.0672
680,943,161,45139,0.067073
690,879,188,58691,0.0734
700,769,175,53908,0.069809
710,995,178,53781,0.076515
720,869,178,59030,0.078274
730,991,185,55242,0.081234
740,914,169,53131,0.074472
750,790,185,68612,0.086037
760,997,180,55554,0.085148
770,951,197,58140,0.114145
780,928,201,68719,0.093936
790,967,189,58565,0.094513
800,959,204,62302,0.105298
810,892,206,72212,0.105258
820,989,201,63072,0.105869
830,834,208,78826,0.115572
840,929,207,70134,0.113343
850,962,203,68794,0.116322
860,984,224,73030,0.120915
870,906,214,76390,0.115952
880,909,213,73077,0.111351
890,924,231,78392,0.119967
900,999,227,78594,0.119409
910,914,210,81821,0.115624
920,975,239,84569,0.134218
930,997,223,75695,0.118972
940,990,228,77089,0.149362
950,977,255,91028,0.13249
960,994,239,89458,0.134436
970,988,249,100502,0.141912
980,992,247,87650,0.140229
990,1000,263,90256,0.14731
1000,1000,230,81907,0.134006
977,977,248,85006,0.135436
728,913,176,51997,0.07533
551,968,120,29474,0.046009
613,959,151,42504,0.057167
744,784,179,66742,0.086833
746,950,196,61142,0.096928
773,953,195,58395,0.094502
664,762,168,55283,0.073287
731,875,188,60015,0.091512
